User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Richard Scott,Male,31,99108,1
10001,Brenda Lee,Female,43,134673,1
10002,Brenda Garcia,Male,32,88682,1
10003,Amber Baker,Female,48,68404,0
10004,Paul Martinez,Male,26,108187,1
10005,Amy Lambert,Female,55,83297,0
10006,Melissa Atkinson,Female,24,43789,1
10007,John Sanders,Female,25,102246,0
10008,Melissa Padilla,Female,38,72459,1
10009,Laura Fitzgerald,Male,52,111120,0
10010,Kayla Perez,Male,33,123574,0
10011,Kyle Harrison,Female,42,14566,0
10012,Kevin Herman,Male,52,101569,-1
10013,John Schultz,Female,57,96613,0
10014,Kenneth Gregory,Female,53,21887,1
10015,Ivan Austin,Male,28,113442,1
10016,Robert Beck,Male,42,23607,1
10017,Morgan Morrison,Female,28,32447,1
10018,Christopher Chavez,Male,37,43367,0
10019,Tiffany Hernandez,Female,31,63925,1
10020,Jacqueline Meadows,Female,50,51930,1
10021,Joseph Lindsey,Male,35,133919,0
10022,Kathy Lopez,Female,27,72242,1
10023,Kyle Love,Male,28,89319,1
10024,Andrew Murray,Female,53,68973,1
10025,James Bailey,Female,45,94484,1
10026,Carrie Rogers,Female,57,124043,1
10027,Jesus Arellano,Female,55,24105,1
10028,Mark Barrett,Male,59,115937,1
10029,Christina Turner,Male,55,55757,0
10030,Michelle Prince,Female,56,28723,0
10031,Julian Smith,Female,35,21405,0
10032,Sara Graves,Male,21,25298,0
10033,Cody Martinez,Female,50,56495,1
10034,Margaret Nelson,Male,49,77842,0
10035,Alyssa Miller,Female,46,8212,-1
10036,Douglas Ward,Male,26,124485,0
10037,Laura Smith,Female,25,79103,0
10038,Dan Henry,Male,20,60474,1
10039,Matthew Howe,Female,26,105587,1
10040,Lisa York,Male,37,110278,0
10041,Jerry Cooley,Male,52,92144,0
10042,Debra Flores,Female,46,68018,1
10043,Tracy Vance,Female,49,57184,0
10044,Bridget Williams,Female,32,31664,0
10045,Audrey Green,Male,37,108949,1
10046,Juan Hubbard,Female,28,118494,0
10047,Ray Singh,Male,43,147802,0
10048,Robert Rogers,Male,42,111835,0
10049,Patricia Johnson,Male,29,20116,1
10050,Michael Huynh,Female,23,96259,1
10051,Glen Fisher,Female,45,57892,1
10052,Todd Martin DVM,Male,50,149676,0
10053,Curtis Finley,Male,40,12982,0
10054,Timothy Chapman,Female,46,88291,0
10055,Stephen Bell,Male,26,110847,0
10056,James Berry,Male,27,37478,0
10057,Levi Sheppard,Female,22,79073,0
10058,Henry Glover,Male,57,39307,0
10059,Eric Wagner,Male,20,138896,1
10060,Chase Williams,Male,31,73107,0
10061,Brian Morris,Female,53,28683,1
10062,Jessica Fowler,Female,30,24126,1
10063,Leslie Smith,Female,32,20375,0
10064,Jillian Wells,Male,36,56770,0
10065,Jenna Fleming,Female,42,113553,0
10066,Christian Wilson,Female,48,13859,1
10067,Brandon Arias,Female,32,125606,1
10068,Joanna Miller,Female,39,102982,0
10069,Miss Sandra Garza PhD,Male,52,105421,0
10070,Stephanie Oneal,Male,45,101716,1
10071,Lindsey Johnson,Female,24,27731,0
10072,Sandra Smith,Female,22,35954,1
10073,Rebecca Schmidt,Male,22,34468,0
10074,Ashley Green,Male,33,146241,1
10075,Andrew Briggs,Female,40,72548,-1
10076,Kimberly Rodriguez,Male,40,50772,1
10077,Gerald Young,Male,40,114367,1
10078,Duane Campbell,Female,34,127499,1
10079,Jennifer Martinez,Male,50,89253,1
10080,Christopher Golden,Male,36,79288,1
10081,Phyllis Diaz,Female,57,123208,1
10082,Jacob Anthony,Female,50,27500,1
10083,Joseph Brown,Female,59,16949,0
10084,Jennifer Stewart,Female,41,43219,1
10085,Joshua Cook,Female,39,52974,1
10086,Roy Hooper,Female,52,81323,1
10087,Tracy Nolan,Male,59,61492,1
10088,Dr. Cory Rios,Female,43,10854,0
10089,Jennifer Valenzuela,Female,49,118132,0
10090,William Collins,Female,42,63974,1
10091,Sara Kelley,Male,50,139483,1
10092,Paige Campbell,Male,52,119683,0
10093,Christopher Juarez,Female,56,146606,1
10094,Nicholas Martin,Female,53,35124,1
10095,Karen Martinez,Male,35,26619,0
10096,Dana Ramirez,Female,36,133567,0
10097,Kristina Harris,Female,21,58471,1
10098,Adrian Davis,Male,23,84160,1
10099,Anthony Brown,Male,42,32129,0
10100,Paula Wilson,Female,30,24178,0
10101,Jo Payne,Male,45,82340,1
10102,Steven Roman,Female,55,141870,0
10103,Noah Daniels,Male,57,136209,0
10104,Sandra Collins,Male,48,120445,1
10105,Emily Reyes,Male,37,36231,1
10106,Barbara Reyes,Male,40,124701,1
10107,Heather Green,Female,23,22219,0
10108,Michael Cameron,Male,31,124258,-1
10109,Jerry Lowery,Female,28,110498,1
10110,Corey Holmes,Female,40,42413,0
10111,Matthew Mckinney,Female,30,18817,0
10112,April Peterson,Male,46,126045,1
10113,Brianna Barton,Male,27,11836,1
10114,Marcus Khan,Female,40,74132,0
10115,Alicia Cervantes,Female,59,14510,-1
10116,Nicole Barnes,Male,53,28640,0
10117,Francisco Warren,Male,54,143543,1
10118,Ann Williams,Female,35,56417,1
10119,Tara Jarvis,Female,36,60985,1
10120,John Stewart,Male,33,16664,1
10121,Reginald Smith,Female,50,117511,0
10122,Susan Jordan,Male,40,11357,0
10123,Jocelyn Williams,Female,58,12241,0
10124,Candice Black,Female,50,98664,0
10125,Charles Young MD,Male,32,77183,0
10126,Shannon Conley,Male,53,86079,1
10127,Natalie Allen,Male,39,10723,0
10128,Scott Archer,Male,45,142974,0
10129,Lisa Lee,Female,35,99969,-1
10130,Stephen Spencer,Male,35,79368,1
